year,category,location,commute
2009,National,Missouri,23.2
2009,National,Montana,16.8
2009,National,Nebraska,17.9
2009,National,Nevada,23.1
2009,National,New Hampshire,25.7
2009,National,New Jersey,29.8
2009,National,New Mexico,21.6
2009,National,New York,31.4
2009,National,North Carolina,23.2
2009,National,North Dakota,16.6
2009,National,Ohio,22.8
2009,National,Oklahoma,20.5
2009,National,Oregon,22.1
2009,National,Pennsylvania,25.4
2009,National,Puerto Rico,28.7
2009,National,Rhode Island,23.2
2009,National,South Carolina,23.2
2009,National,South Dakota,16.7
2009,National,Tennessee,24
2009,National,Texas,24.6
2009,National,United States,25.1
2009,National,Utah,21
2009,National,Vermont,21.9
2009,National,Virginia,27.2
2009,National,Washington,25.4
2009,National,West Virginia,25.1
2009,National,Wisconsin,21.2
2009,National,Wyoming,18
2009,National,Columbia,18.5
2010,National,Alabama,24.1
2010,National,Alaska,18.8
2010,National,Arizona,24.5
2010,National,Arkansas,21.2
2010,National,California,26.9
2010,National,Colorado,24.1
2010,National,Connecticut,24.7
2010,National,Delaware,24.3
2010,National,District of Columbia,29.4
2010,National,Florida,25.5
2010,National,Georgia,27
2010,National,Hawaii,25.5
2010,National,Idaho,20.4
2010,National,Illinois,27.9
2010,National,Indiana,23.2
2010,National,Iowa,19.1
2010,National,Kansas,19.1
2010,National,Kentucky,22.6
2010,National,Louisiana,24.8
2010,National,Maine,23.3
2010,National,Maryland,31.8
2010,National,Massachusetts,27.6
2010,National,Michigan,23.9
2010,National,Minnesota,22.9
2010,National,Mississippi,23.8
2010,National,Missouri,23
2010,National,Montana,18.6
2010,National,Nebraska,18.4
2010,National,Nevada,23.3
2010,National,New Hampshire,25.9
2010,National,New Jersey,30.3
2010,National,New Mexico,22.2
2010,National,New York,31.3
2010,National,North Carolina,23.4
2010,National,North Dakota,16.1
2010,National,Ohio,22.8
2010,National,Oklahoma,20.8
2010,National,Oregon,22.3
2010,National,Pennsylvania,25.9
2010,National,Puerto Rico,28.9
2010,National,Rhode Island,22.9
2010,National,South Carolina,23.5
2010,National,South Dakota,16.8
2010,National,Tennessee,24
2010,National,Texas,24.6
2010,National,United States,25.3
2010,National,Utah,21.2
2010,National,Vermont,21.7
2010,National,Virginia,27.5
2010,National,Washington,25.1
2010,National,West Virginia,25.6
2010,National,Wisconsin,21.6
2010,National,Wyoming,18.3
2010,National,Columbia,18.6
2011,National,Alabama,23.9
2011,National,Alaska,18.4
2011,National,Arizona,24.8
2011,National,Arkansas,21.3
2011,National,California,27.1
2011,National,Colorado,24.5
2011,National,Connecticut,25
2011,National,Delaware,25.3
2011,National,District of Columbia,30.1
2011,National,Florida,25.8
2011,National,Georgia,27.1
2011,National,Hawaii,25.7
2011,National,Idaho,19.7
2011,National,Illinois,28.2
2011,National,Indiana,23.5
2011,National,Iowa,18.8
2011,National,Kansas,18.9
2011,National,Kentucky,22.9
2011,National,Louisiana,24.5
2011,National,Maine,23.4
2011,National,Maryland,32.2
2011,National,Massachusetts,28
2011,National,Michigan,24.1
2011,National,Minnesota,23
2011,National,Mississippi,23.9
2011,National,Missouri,23.1
2011,National,Montana,18.2
2011,National,Nebraska,18.1
2011,National,Nevada,24.1
2011,National,New Hampshire,26.9
2011,National,New Jersey,30.5
2011,National,New Mexico,21.4
2011,National,New York,31.5
2011,National,North Carolina,23.4
2011,National,North Dakota,16.9
2011,National,Ohio,23.1
2011,National,Oklahoma,21.1
2011,National,Oregon,22.5
2011,National,Pennsylvania,25.9
2011,National,Puerto Rico,29.7
2011,National,Rhode Island,23.4
2011,National,South Carolina,23.6
2011,National,South Dakota,16.9
2011,National,Tennessee,24.2
2011,National,Texas,24.8
2011,National,United States,25.5
2011,National,Utah,21.6
2011,National,Vermont,21.9
2011,National,Virginia,27.7
2011,National,Washington,25.5
2011,National,West Virginia,25.6
2011,National,Wisconsin,21.9
2011,National,Wyoming,18.1
2011,National,Columbia,20.2
2012,National,Alabama,24.5
2012,National,Alaska,19.6
2012,National,Arizona,24.6
2012,National,Arkansas,21.4
2012,National,California,27.5
2012,National,Colorado,24.5
2012,National,Connecticut,24.8
2012,National,Delaware,25.8
2012,National,District of Columbia,29.9
2012,National,Florida,26.2
2012,National,Georgia,26.9
2012,National,Hawaii,26
2012,National,Idaho,20.2
2012,National,Illinois,28
2012,National,Indiana,23.5
2012,National,Iowa,18.8
2012,National,Kansas,19
